,거래소코드,회계년도,종가,상장주식수,시가총액
51,000720,2019/12,42300,111355765,4710348859500
51,004940,2011/12,7350,644906826,4740065171100
51,005387,2013/12,130500,37613865,4908609382500
51,006800,2017/12,9190,666316408,6123447789520
51,021240,2020/12,72700,73799619,5365232301300
51,032640,2014/12,11500,436611361,5021030651500
51,034020,2012/12,45200,105856267,4784703268400
51,078930,2016/12,54100,92915378,5026721949800
51,128940,2018/12,464000,11385691,5282960624000
51,139480,2015/12,189000,27875819,5268529791000
51,329180,2021/12,95200,88773116,8451200643200
52,004020,2020/12,39600,133445785,5284453086000
52,005830,2015/12,70300,70800000,4977240000000
52,010140,2019/12,7270,630000000,4580100000000
52,011210,2013/12,190000,25730119,4888722610000
52,011210,2014/12,176000,27195083,4786334608000
52,030200,2021/12,30600,261111808,7990021324800
52,032640,2016/12,11450,436611361,4999200083450
52,032640,2017/12,14000,436611361,6112559054000
52,078930,2011/12,50700,92915378,4710809664600
52,097950,2012/12,355500,13085033,4651729231500
52,215600,2018/12,73500,69817033,5131551925500
53,000720,2014/12,42100,111355765,4688077706500
53,000720,2016/12,42800,111355765,4766026742000
53,006360,2011/12,92100,51000000,4697100000000
53,029780,2019/12,38600,115858891,4472153192600
53,032640,2020/12,11750,436611361,5130183491750
53,047050,2013/12,41300,113876291,4703090818300
53,066970,2021/12,222400,34810264,7741802713600
53,068270,2012/12,26100,174639638,4558094551800
53,088350,2017/12,6910,868530000,6001542300000
53,097950,2015/12,377500,13158198,4967219745000
53,139480,2018/12,182500,27875819,5087336967500
54,004020,2019/12,31450,133445785,4196869938250
54,008930,2018/12,79000,63499267,5016442093000
54,010140,2014/12,19950,230875386,4605963950700
54,024110,2021/12,10300,744300587,7666296046100
54,032640,2013/12,10750,436611361,4693572130750
54,042660,2011/12,24300,191390758,4650795419400
54,047050,2012/12,39650,113876291,4515194938150
