,상장기간
2418,16
2419,17
2420,18
2421,19
2422,1
2423,16
2424,17
2425,18
2426,19
2427,20
2428,21
2429,22
2430,23
2431,24
2432,25
2433,26
2434,27
2435,23
2436,24
2437,25
2438,27
2439,28
2440,29
2441,30
2442,31
2443,32
2444,33
2445,34
2446,56
2447,57
2448,58
2449,59
2450,60
2451,61
2452,62
2453,63
2454,64
2455,65
2456,66
2457,67
2458,37
2459,38
2460,39
2461,40
2462,41
2463,42
2464,43
2465,44
2466,45
2467,46
2468,47
2469,48
2470,50
2471,51
2472,52
2473,53
2474,54
2475,55
2476,56
2477,57
2478,58
2479,59
2480,60
2481,61
2482,0
2483,0
2484,0
2485,0
2486,1
2487,2
2488,3
2489,4
2490,5
2491,6
2492,7
2493,8
2494,1
2495,2
2496,3
2497,4
2498,5
2499,6
2500,7
2501,8
2502,9
2503,10
2504,11
2505,12
2506,9
2507,10
2508,11
2509,12
2510,13
2511,14
2512,15
2513,16
2514,17
2515,18
2516,19
2517,20
2518,24
2519,25
2520,26
2521,27
2522,28
2523,29
2524,30
2525,31
2526,32
2527,33
2528,34
2529,35
2530,24
2531,25
2532,26
2533,27
2534,28
2535,29
2536,30
2537,31
2538,32
2539,33
2540,34
2541,35
2542,5
2543,6
2544,7
2545,8
2546,9
2547,10
2548,11
2549,12
2550,13
2551,14
2552,15
2553,16
2554,9
2555,10
2556,11
2557,12
2558,13
2559,14
2560,15
2561,16
2562,17
2563,18
2564,19
2565,20
2566,15
2567,16
2568,17
2569,18
2570,19
2571,20
2572,21
2573,22
2574,23
2575,24
2576,25
2577,26
2578,7
2579,8
2580,9
2581,10
2582,11
2583,12
2584,13
2585,14
2586,15
2587,16
2588,17
2589,18
2590,23
2591,24
2592,25
2593,26
2594,27
2595,28
2596,29
2597,30
2598,31
2599,32
2600,33
2601,34
2602,4
2603,5
2604,6
2605,7
2606,8
2607,9
2608,10
2609,11
2610,12
2611,13
2612,14
2613,15
2614,27
2615,28
2616,29
2617,30
2618,31
2619,32
2620,33
2621,34
2622,35
2623,36
2624,37
2625,38
2626,8
2627,9
2628,10
2629,11
2630,12
2631,13
2632,14
2633,15
2634,16
2635,17
2636,18
2637,19
2638,26
2639,27
2640,28
2641,29
2642,30
2643,31
2644,32
2645,33
2646,34
2647,35
2648,36
2649,37
2650,0
2651,0
2652,0
2653,0
2654,1
2655,2
2656,3
2657,4
2658,5
2659,6
2660,7
2661,8
2662,0
2663,0
2664,0
2665,0
2666,0
2667,1
2668,2
2669,3
2670,4
2671,5
2672,6
2673,7
2674,14
2675,15
2676,16
2677,17
2678,18
2679,19
2680,20
2681,21
2682,22
2683,23
2684,24
2685,25
2686,0
2687,0
2688,0
2689,0
2690,1
2691,2
2692,3
2693,4
2694,5
2695,6
2696,7
2697,8
2698,36
2699,37
2700,38
2701,39
2702,40
2703,41
2704,42
2705,43
2706,44
2707,45
2708,46
2709,47
2710,36
2711,37
2712,38
2713,39
2714,40
2715,41
2716,42
2717,43
2718,44
2719,45
2720,46
2721,47
2722,1
2723,2
2724,3
2725,4
2726,5
2727,6
2728,7
2729,8
2730,9
2731,10
2732,11
2733,12
2734,13
2735,14
2736,15
2737,16
2738,17
2739,18
2740,19
2741,20
2742,21
2743,22
2744,36
2745,37
2746,38
2747,39
2748,40
2749,41
2750,42
2751,43
2752,44
2753,45
2754,46
2755,47
2756,6
2757,7
2758,8
2759,9
2760,10
2761,11
2762,12
2763,13
2764,14
2765,15
2766,16
2767,17
2768,18
2769,0
2770,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,0
2777,1
2778,2
2779,3
2780,4
2781,8
2782,9
2783,10
2784,11
2785,12
2786,13
2787,14
2788,15
2789,16
2790,17
2791,18
2792,19
2793,36
2794,37
2795,38
2796,39
2797,40
2798,41
2799,42
2800,43
2801,44
2802,45
2803,46
2804,47
2805,1
2806,2
2807,3
2808,4
2809,5
2810,6
2811,7
2812,8
2813,9
2814,10
2815,11
2816,12
2817,13
2818,14
2819,15
2820,16
2821,17
2822,18
2823,19
2824,20
2825,21
2826,22
2827,23
2828,24
2829,6
2830,7
2831,8
2832,9
2833,10
2834,11
2835,12
2836,13
2837,14
2838,15
2839,16
2840,17
2841,4
2842,5
2843,6
2844,7
2845,8
2846,9
2847,10
2848,11
2849,12
2850,13
2851,14
2852,15
2853,0
2854,0
2855,0
2856,0
2857,0
2858,0
2859,1
2860,2
2861,3
2862,4
2863,5
2864,6
2865,35
2866,36
2867,37
2868,38
2869,39
2870,40
2871,41
2872,42
2873,43
2874,44
2875,45
2876,46
2877,3
2878,4
2879,5
2880,6
2881,7
2882,8
2883,9
2884,10
2885,11
2886,12
2887,13
2888,14
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,1
2896,2
2897,3
2898,4
2899,5
2900,6
2901,0
2902,0
2903,0
2904,1
2905,2
2906,38
2907,39
2908,40
2909,41
2910,42
2911,43
2912,44
2913,45
2914,46
2915,47
2916,48
2917,49
2918,15
2919,16
2920,17
2921,18
2922,19
2923,20
2924,21
2925,22
2926,23
2927,24
2928,25
2929,26
2930,39
2931,40
2932,41
2933,42
2934,43
2935,44
2936,45
2937,46
2938,47
2939,48
2940,49
2941,50
2942,1
2943,2
2944,3
2945,1
2946,2
2947,3
2948,4
2949,5
2950,6
2951,34
2952,35
2953,36
2954,37
2955,38
2956,39
2957,40
2958,41
2959,42
2960,43
2961,44
2962,45
2963,5
2964,6
2965,7
2966,8
2967,9
2968,10
2969,11
2970,12
2971,13
2972,14
2973,15
2974,16
2975,11
2976,12
2977,13
2978,14
2979,15
2980,16
2981,17
2982,18
2983,19
2984,20
2985,21
2986,22
2987,6
2988,7
2989,8
2990,9
2991,10
2992,11
