회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)골프존,215000,2015/12,,,,,,,,,,,,,44346,-4207,-174,40185
(주)골프존,215000,2016/12,423968.9,50612.85,25.71,8.38,15.69,10.99,5.61,3.93,17.22,12.06,2.86,2.01,35237,-33604,-25042,-23182
(주)골프존,215000,2017/12,215605.58,38360.72,22.32,5.62,5.62,3.55,2.65,1.67,5.34,3.37,2.47,1.56,80377,11831,-12542,79191
(주)골프존,215000,2018/12,177965.08,34932.41,18.23,5.09,15.56,9.1,1.91,1.12,9.77,5.71,1.76,1.03,32884,-56232,-28387,-51423
(주)골프존,215000,2019/12,474008.05,53241.75,22.27,8.9,26.08,9.87,2.97,1.13,13.33,5.04,2.15,0.81,39502,-46931,-36061,-43130
(주)골프존,215000,2020/12,472843.45,80438.95,28.62,5.88,13.99,4.98,2.64,0.94,6.01,2.14,1.81,0.64,87402,-52633,-25287,7466
(주)골프존,215000,2021/12,1112145.56,136900.43,33.12,8.12,16.37,5.17,4.93,1.56,9.67,3.05,2.94,0.93,136071,-63709,-29648,43792
(주)골프존뉴딘홀딩스,121440,2011/12,557764.77,57784.6,27.54,9.65,24.52,11.15,3.61,1.64,24.99,11.36,5.56,2.53,46128,-173048,139988,13110
(주)골프존뉴딘홀딩스,121440,2012/12,782176.16,80294.15,29.06,9.74,12.78,7.97,2.45,1.53,12.46,7.77,3.33,2.08,61270,-91334,44389,14940
(주)골프존뉴딘홀딩스,121440,2013/12,740572.33,93237.16,27.42,7.94,590.47,158.28,6.82,1.83,36.54,9.79,7.8,2.09,63431,-90094,26101,-739
(주)골프존뉴딘홀딩스,121440,2014/12,943016.75,111676.48,28.85,8.44,16.43,8.87,2.38,1.28,33.85,18.27,2.7,1.46,28790,-75886,35881,-11044
(주)골프존뉴딘홀딩스,121440,2015/12,317265.39,-7131.48,-24.27,0,1.28,0.26,2.19,0.45,0,0,38.71,7.86,-15267,10947,-3989,-8300
(주)골프존뉴딘홀딩스,121440,2016/12,370279.41,-221.12,-0.8,0,0,0,0.82,0.6,71.75,53.14,14.58,10.8,15896,-11135,-18463,-13586
